active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,12,-18,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,LOSS,985,5,10,2,5,0,0,2,0,0,0,0,0,2,7.6
True,2022-10-21,3,-10,SAN ANTONIO SPURS,AWAY,INDIANA PACERS,WIN,729,1,3,1,1,0,0,0,1,3,0,0,1,1,2.3
True,2022-10-22,14,19,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,WIN,1464,5,9,4,5,0,0,0,3,1,0,1,1,1,10.6
True,2022-10-24,2,-12,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1027,1,5,0,3,0,0,0,1,1,0,0,1,1,-1.5
True,2022-10-26,19,-10,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1461,6,14,4,8,3,3,1,2,3,0,0,1,3,12.8
True,2022-10-28,9,5,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,1604,3,9,1,6,2,3,0,4,2,0,0,0,3,4.9
True,2022-10-30,23,3,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,1526,8,16,7,14,0,0,0,3,1,0,1,1,3,15.1
True,2022-11-02,9,-9,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,LOSS,1341,4,9,1,4,0,0,0,4,3,0,0,3,1,4.2
True,2022-11-04,10,5,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,1350,4,6,2,3,0,0,0,1,1,0,0,2,0,6.4
True,2022-11-05,1,-18,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,955,0,3,0,2,1,3,0,0,0,0,0,0,1,-2.3
True,2022-11-07,9,-1,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,1144,3,7,1,4,2,3,0,1,1,0,0,0,1,5.5
True,2022-11-09,9,10,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,1412,4,9,1,5,0,0,0,3,1,0,0,0,2,5.1
True,2022-11-11,10,6,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,1427,4,7,2,3,0,0,1,2,1,0,0,3,2,4.9
True,2022-11-14,7,-22,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1356,2,6,2,5,1,2,0,0,0,1,1,2,0,2.9
True,2022-11-15,6,-12,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1034,2,8,1,5,1,1,0,0,0,0,0,2,3,-2.0
True,2022-11-19,13,-10,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1021,5,6,3,4,0,0,1,1,0,0,0,1,1,10.4
True,2022-11-20,8,-16,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1126,4,7,0,2,0,1,0,2,2,0,0,0,1,5.9
True,2022-11-23,21,-13,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,1374,9,12,3,6,0,0,0,1,2,0,0,1,3,15.7
True,2022-11-26,15,-4,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,1554,6,14,3,7,0,0,0,2,3,1,0,1,3,9.1
True,2022-11-30,5,7,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,934,2,5,1,4,0,0,0,1,4,0,0,0,1,5.0
True,2022-12-08,12,-3,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,1398,3,7,3,5,3,3,1,2,2,0,1,1,2,9.9
True,2022-12-10,13,22,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,WIN,1487,5,8,3,5,0,0,1,1,5,0,0,1,1,12.5
True,2022-12-12,7,-2,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,1056,3,6,0,2,1,1,1,2,1,0,0,0,0,6.0
True,2022-12-14,14,-20,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1262,5,9,3,5,1,2,0,1,0,0,0,1,4,7.0
True,2022-12-17,8,9,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,1260,3,8,2,6,0,0,0,5,1,0,1,1,2,4.7
True,2022-12-19,16,16,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,WIN,1360,6,11,4,6,0,0,1,3,2,0,0,2,2,10.9
True,2022-12-22,5,-10,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,1015,2,8,1,5,0,0,1,3,1,0,0,1,0,1.5
True,2022-12-23,13,-10,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,LOSS,1167,4,12,3,9,2,2,0,2,0,0,0,1,0,5.8
True,2022-12-26,14,5,SAN ANTONIO SPURS,HOME,UTAH JAZZ,WIN,1061,5,10,1,4,3,3,0,1,1,0,0,0,4,8.4
True,2022-12-29,8,18,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,978,3,6,2,4,0,0,0,1,4,0,0,1,1,6.7
True,2022-12-31,9,18,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1178,4,7,1,2,0,0,1,4,2,0,0,1,3,6.8
True,2023-01-02,0,-11,SAN ANTONIO SPURS,AWAY,BROOKLYN NETS,LOSS,565,0,4,0,3,0,0,0,4,1,0,0,1,1,-2.3
True,2023-01-04,15,15,SAN ANTONIO SPURS,AWAY,NEW YORK KNICKS,LOSS,1408,5,7,2,3,3,4,0,2,0,1,1,2,1,11.6
True,2023-01-06,9,7,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,1273,3,7,1,3,2,3,1,2,1,0,0,0,2,6.1
True,2023-01-07,13,-3,SAN ANTONIO SPURS,HOME,BOSTON CELTICS,LOSS,1220,5,7,2,3,1,2,0,3,1,0,0,0,3,10.1
True,2023-01-09,9,3,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,1454,3,6,1,3,2,2,0,5,1,0,0,0,4,6.6
True,2023-01-11,15,-5,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,1439,6,9,3,4,0,0,0,5,2,1,0,2,0,13.0
True,2023-01-13,14,-24,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,LOSS,1331,5,7,1,3,3,4,0,2,1,1,0,0,1,12.6
True,2023-01-17,4,-9,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,1279,2,7,0,2,0,0,1,3,3,1,0,1,2,2.8
True,2023-01-20,2,7,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,846,1,5,0,2,0,0,0,0,0,0,0,1,1,-2.5
True,2023-01-23,13,-6,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,997,5,7,3,3,0,0,0,1,0,1,0,1,1,10.0
True,2023-01-25,9,-11,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1395,3,10,1,4,2,2,0,1,0,1,0,1,3,2.3
True,2023-01-26,11,-15,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1320,3,8,3,7,2,2,1,2,2,0,0,1,0,8.3
True,2023-01-28,10,-9,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,1216,4,10,2,6,0,0,0,1,1,1,0,3,4,2.0
True,2023-01-30,6,-16,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,LOSS,1297,2,9,2,5,0,1,0,1,0,0,0,0,1,0.0
True,2023-02-01,5,4,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,LOSS,1405,2,4,1,2,0,0,0,1,3,0,0,0,3,4.2
True,2023-02-03,7,-19,SAN ANTONIO SPURS,HOME,PHILADELPHIA 76ERS,LOSS,1080,3,7,0,2,1,1,0,1,2,0,0,2,1,2.6
True,2023-02-06,6,-8,SAN ANTONIO SPURS,AWAY,CHICAGO BULLS,LOSS,1111,2,7,2,4,0,0,0,2,3,0,0,0,1,4.2
True,2023-02-08,13,2,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,1422,4,10,3,8,2,3,0,1,3,0,0,0,3,8.4
True,2023-02-10,7,1,SAN ANTONIO SPURS,AWAY,DETROIT PISTONS,LOSS,1137,3,10,1,5,0,0,1,0,2,0,0,0,2,2.5
True,2023-02-15,17,-4,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,1355,6,9,5,7,0,0,1,2,0,0,0,3,3,10.2
True,2023-02-23,6,-25,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,LOSS,1480,3,6,0,2,0,0,0,0,3,0,0,0,4,3.5
True,2023-02-25,3,-8,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,1103,1,5,1,5,0,0,0,2,0,0,0,2,2,-2.3
True,2023-02-28,19,19,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,WIN,1682,7,14,5,9,0,0,0,3,0,0,0,1,3,10.7
True,2023-03-02,0,-5,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,442,0,3,0,2,0,0,0,0,1,0,0,0,0,-1.4
True,2023-03-10,20,17,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,WIN,1708,7,8,4,4,2,3,2,3,1,1,0,1,2,19.0
True,2023-03-12,11,-5,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,LOSS,1561,5,13,1,4,0,0,1,1,4,1,0,1,1,7.3
True,2023-03-14,15,-2,SAN ANTONIO SPURS,HOME,ORLANDO MAGIC,WIN,1443,5,8,5,8,0,0,0,2,2,1,0,2,2,11.6
True,2023-03-15,9,-3,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1210,3,8,3,5,0,2,0,4,2,0,0,2,2,3.6
True,2023-03-21,5,-14,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,1227,2,5,1,4,0,0,1,2,1,0,0,1,1,2.9
True,2023-03-24,18,-17,SAN ANTONIO SPURS,AWAY,WASHINGTON WIZARDS,LOSS,1096,6,14,3,8,3,3,1,0,1,1,0,0,5,11.0
True,2023-03-26,7,-21,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,LOSS,1254,2,10,1,7,2,2,0,1,1,0,0,0,2,1.0
True,2023-04-02,30,-3,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,WIN,1696,9,15,4,8,8,9,2,0,1,0,0,0,5,22.8
True,2023-04-04,2,-11,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,359,1,7,0,4,0,0,1,1,0,0,0,0,0,-1.5
